,1H4,1H6,2H4,2H6,3H6,Ado,Ant,AWW,AYL,Cor,Cym,Err,H5,H8,Ham,JC,Jn,LLL,Lr,Luc,Mac,MM,MND,MV,Oth,Per,PhT,R2,R3,Rom,Shr,Son,TGV,Tim,Tit,Tmp,TN,TNK,Tro,Ven,Wiv,WT
another,9,12,9,7,12,14,15,14,14,17,12,7,10,11,12,6,8,7,10,9,7,8,11,10,13,9,0,8,14,15,10,14,15,9,10,5,10,27,20,7,25,17
lords,7,41,12,35,44,5,4,19,12,19,15,1,16,38,4,0,17,20,5,4,7,2,2,2,2,12,0,20,20,0,3,2,0,18,27,5,2,8,4,0,3,16
plays,12,11,12,10,10,12,12,10,13,11,10,10,10,10,11,12,13,12,10,10,10,11,11,12,11,11,9,13,10,12,15,9,12,11,10,11,13,11,10,9,10,12
house,19,7,9,18,21,6,5,13,11,19,3,23,2,6,5,15,2,7,16,2,6,20,9,25,11,11,0,7,14,23,26,1,3,10,11,4,24,4,3,0,28,5
sword,18,19,15,28,12,4,25,9,7,21,20,4,20,4,20,16,10,5,21,3,15,3,7,1,14,3,1,9,13,10,2,2,1,9,10,4,15,19,20,1,10,5
faith,33,4,24,6,4,23,2,16,20,7,10,4,13,10,16,2,19,13,6,0,6,4,6,14,26,14,0,4,8,18,14,5,7,4,1,2,20,14,24,0,8,8
show,10,1,12,12,4,17,13,7,13,22,9,4,14,8,23,13,9,18,10,13,18,16,10,16,7,14,0,16,2,12,8,24,7,11,9,8,7,12,12,0,11,8
dost,18,6,12,14,5,13,8,7,6,4,6,11,7,0,14,10,18,8,27,3,3,12,5,8,30,6,0,13,15,16,6,29,9,23,18,18,12,4,8,8,1,10
once,9,19,14,7,20,6,18,7,5,13,11,6,15,22,19,14,9,12,9,9,11,12,9,7,9,6,0,15,15,10,11,10,7,8,8,11,9,16,12,8,8,14
indeed,17,2,25,7,2,27,18,21,10,13,8,3,8,14,31,11,6,10,5,1,5,16,4,14,30,6,0,4,15,9,7,1,12,6,4,12,16,4,8,1,21,16
tongue,12,10,14,16,13,11,8,9,8,13,10,6,6,14,15,9,24,22,5,14,9,11,15,7,7,5,0,28,14,11,12,18,6,4,21,7,8,4,9,7,2,8
new,12,11,14,10,13,10,9,6,12,8,8,7,11,18,9,10,15,9,9,10,16,9,11,13,10,6,4,16,10,19,10,29,7,8,11,12,6,12,7,6,8,9
woman,9,7,12,7,8,10,13,15,29,5,17,11,2,22,7,6,5,13,9,1,10,22,6,9,16,5,0,8,6,3,10,7,11,4,6,2,12,35,8,3,51,11
stay,6,20,8,12,33,7,8,10,9,13,6,9,11,7,12,17,10,13,10,6,5,9,15,10,7,3,0,13,18,27,18,9,5,14,11,1,8,12,10,3,10,16
gone,4,7,13,13,10,5,17,18,5,13,19,11,3,9,13,10,12,8,14,4,9,11,16,12,14,10,0,10,12,26,7,9,14,13,9,7,2,10,13,10,10,18
page,0,0,40,0,0,0,0,3,6,1,4,0,0,3,0,0,0,8,0,0,0,0,1,2,0,1,0,0,5,11,10,1,4,7,0,0,0,0,0,0,343,1
hands,6,12,6,16,26,8,17,4,12,10,14,6,8,11,15,20,10,10,8,3,13,5,8,6,8,9,1,22,13,14,14,3,9,7,32,5,7,12,5,3,7,14
without,12,7,9,7,3,14,8,11,13,13,16,11,7,17,20,6,15,15,9,7,15,2,6,10,14,8,1,8,9,15,8,10,13,9,5,10,10,13,20,3,7,14
mother,3,13,3,9,11,3,2,32,2,41,26,2,1,2,46,3,39,3,6,2,5,2,5,6,4,11,0,8,48,17,4,5,5,2,27,4,2,3,5,2,9,13
farewell,17,14,7,12,15,9,22,19,7,13,6,2,5,12,18,12,5,6,12,1,5,7,4,7,18,5,1,22,17,21,8,2,5,5,10,8,9,19,15,2,10,5
hope,8,9,13,17,26,6,9,21,10,11,16,10,9,13,9,4,6,11,5,6,10,15,5,13,9,8,1,17,18,5,10,7,6,8,10,11,11,13,6,5,14,7
warwick,0,37,41,80,261,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
france,1,66,2,41,33,0,0,18,1,0,4,2,128,8,5,0,60,9,31,0,0,0,0,1,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,3,0
right,5,9,11,9,30,15,5,8,12,8,6,5,13,12,12,7,35,11,9,8,4,12,9,11,6,3,3,17,18,6,12,12,2,11,15,4,8,13,12,6,4,5
through,13,13,17,19,9,6,13,6,8,15,11,4,15,7,11,8,4,10,9,18,8,3,30,5,6,12,2,16,4,10,11,8,6,5,3,7,2,16,12,14,8,8
forth,12,11,11,9,10,4,17,11,8,19,7,11,12,5,6,23,13,4,13,12,8,9,9,11,6,8,0,14,12,13,9,7,2,10,8,15,5,8,8,9,8,11
nature,3,3,10,2,4,4,9,24,17,18,21,3,5,11,29,5,6,2,38,3,20,11,3,4,16,11,1,2,6,6,1,16,1,20,8,7,12,12,14,7,1,16
please,3,8,18,17,4,7,14,12,14,7,14,7,15,26,12,8,1,14,10,0,7,14,4,9,7,13,0,9,15,3,20,4,15,12,13,6,13,10,7,0,2,18
makes,3,10,5,12,17,0,16,8,12,11,13,4,7,14,18,3,14,11,16,11,6,9,6,8,12,16,0,13,17,15,5,8,16,7,6,5,6,8,15,9,6,12
gentle,7,7,10,9,19,2,13,5,16,5,7,7,10,10,5,10,15,10,4,7,6,10,16,14,10,7,0,14,27,13,10,14,17,4,16,5,5,9,9,8,4,7
thought,5,7,14,14,10,12,12,9,8,10,15,6,16,9,12,7,6,6,14,12,14,8,4,9,20,13,0,11,14,8,3,18,4,4,5,6,8,4,14,5,6,23
ere,10,13,13,11,16,11,8,15,5,17,15,7,5,5,12,6,10,7,11,14,12,11,13,8,4,5,0,16,14,20,9,6,6,9,2,8,2,10,11,4,6,10
fortune,9,7,7,5,20,3,27,19,20,9,7,4,8,6,16,4,14,0,20,4,7,5,0,21,12,12,0,11,13,9,5,9,9,15,5,4,11,15,10,1,7,8
edward,0,5,1,8,285,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,86,0,0,0,0,0,0,0,0,0,0,0,1,0
answer,11,13,8,10,11,24,8,19,9,16,13,11,19,8,14,11,14,3,16,3,5,12,6,14,9,2,0,10,6,10,4,3,3,12,3,4,13,2,17,4,5,7
rest,10,18,9,11,32,1,5,7,8,6,7,4,4,7,14,11,8,10,12,11,9,6,14,13,3,14,1,14,17,15,12,8,9,7,10,14,5,3,7,4,2,9
use,7,5,14,6,11,10,9,12,5,9,9,9,12,8,17,11,8,2,16,4,7,12,6,12,8,8,1,4,7,15,9,14,9,24,7,10,6,12,11,5,12,9
mind,3,5,9,16,13,8,5,6,7,7,12,6,12,12,14,8,4,6,13,12,9,6,4,17,11,8,0,10,17,8,10,17,13,9,8,10,11,10,12,5,15,7
marry,6,3,21,9,3,33,3,22,22,0,4,10,6,6,16,3,5,9,7,0,2,14,9,9,14,6,0,2,16,22,23,0,14,2,3,2,15,8,4,0,30,8
fall,6,13,8,10,7,6,16,10,16,9,14,3,10,23,11,11,14,4,9,4,6,7,4,6,13,7,0,12,20,16,4,3,3,14,7,7,7,25,16,7,1,1
half,14,9,13,7,7,8,12,6,4,17,8,5,9,14,8,7,13,15,16,4,6,7,7,17,10,11,3,4,6,8,10,6,3,9,10,7,9,9,18,4,8,9
heard,11,4,12,8,15,11,17,7,10,18,13,4,8,11,14,8,10,9,12,2,8,13,10,9,14,7,0,6,5,2,13,1,5,4,11,11,10,18,3,2,10,13
othello,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,348,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
welcome,8,7,13,6,9,2,16,8,10,18,13,10,2,10,17,8,6,11,7,2,11,6,4,17,8,9,0,13,10,8,22,2,13,17,13,3,4,1,20,0,5,10
back,14,11,13,13,9,4,14,3,5,18,9,6,14,11,9,13,12,4,14,9,6,7,10,6,8,1,0,14,11,28,7,9,5,11,8,5,5,0,11,8,2,4
hence,6,14,14,14,26,4,18,4,4,13,18,12,8,4,4,12,7,4,13,2,11,10,10,6,7,2,1,8,8,26,12,6,13,5,8,9,2,9,5,1,1,18
wilt,14,16,18,11,17,11,7,8,11,5,13,6,7,1,9,7,6,4,6,7,3,3,8,7,4,8,1,8,7,31,12,15,10,12,9,9,8,5,6,8,5,8
came,14,5,14,6,14,7,5,4,9,8,15,16,9,12,10,7,9,12,14,7,6,9,10,9,9,14,0,6,15,13,11,3,6,5,2,9,6,9,8,2,7,12
power,15,8,13,6,8,2,15,15,3,41,5,2,7,12,8,6,13,8,16,6,11,11,9,11,6,6,0,18,14,5,0,9,2,12,5,9,0,13,6,2,0,7
matter,9,4,10,6,3,16,14,10,16,17,10,3,7,4,27,10,4,5,15,1,1,11,0,6,25,2,0,9,5,6,7,3,10,2,2,6,17,7,25,2,19,12
light,7,4,12,6,5,9,4,7,2,3,7,11,5,3,10,5,6,30,6,23,10,7,10,9,25,10,1,11,6,33,6,8,8,5,3,10,6,8,5,16,4,3
romeo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,334,1,1,1,1,1,1,1,1,1,1,1,1
messenger,9,22,3,14,17,21,74,3,2,28,5,6,8,6,7,2,17,1,15,1,12,4,1,9,6,4,0,0,26,2,3,0,5,11,3,2,3,12,0,0,2,0
iago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ring,12,8,6,5,4,0,3,39,5,6,28,11,4,8,10,2,4,4,6,15,6,1,6,46,3,4,0,10,8,15,4,8,18,0,7,5,10,8,5,4,3,9
home,12,0,8,7,5,3,4,16,6,37,10,41,10,3,6,13,8,4,10,3,5,8,3,8,9,10,0,10,5,6,15,3,11,2,6,5,6,5,10,0,15,9
thing,9,4,14,5,7,8,9,3,10,14,29,3,1,3,18,7,4,9,13,12,6,18,9,6,12,11,0,4,8,13,7,9,9,4,5,12,5,10,15,1,5,9
cause,4,11,12,10,7,3,16,3,10,18,7,5,13,21,17,15,8,6,12,5,5,12,3,5,16,8,0,14,16,5,8,3,1,4,14,3,5,11,9,3,7,9
end,9,4,15,7,6,6,7,8,10,17,17,18,10,15,17,7,3,14,5,9,4,4,7,8,3,6,1,8,15,10,6,11,6,3,6,7,8,19,7,3,7,6
things,5,3,9,9,2,8,14,13,6,13,11,2,13,8,11,17,3,8,12,6,23,5,16,10,12,1,0,6,5,8,9,14,5,8,2,6,6,13,10,6,8,16
truth,12,12,16,5,7,11,5,19,6,11,8,4,7,25,6,3,12,10,7,5,8,13,8,8,8,4,3,8,8,5,1,26,5,2,3,4,3,1,21,2,10,13
fire,10,4,10,8,4,6,5,9,3,12,3,5,14,6,13,20,16,7,16,13,6,1,7,5,7,12,1,10,2,9,15,12,9,6,5,7,6,12,6,15,11,8
gods,1,0,0,0,0,2,35,1,6,46,37,1,0,1,3,25,0,1,26,3,0,1,2,1,1,45,0,0,1,0,3,0,0,43,11,1,1,29,26,0,2,10
cousin,30,1,25,5,6,35,0,2,12,1,0,0,14,0,4,0,9,0,0,0,6,6,0,1,2,0,0,42,19,23,1,0,0,0,2,0,7,56,16,0,9,0
follow,3,8,11,17,15,7,20,6,3,17,11,1,12,6,22,15,7,5,15,1,1,4,18,8,7,5,1,1,8,8,3,3,8,6,6,13,5,8,5,2,26,12
meet,21,8,11,7,12,14,4,6,10,12,10,7,10,3,9,18,9,5,8,2,8,11,17,8,13,2,0,10,11,9,8,2,9,7,2,2,2,5,15,1,11,2
reason,12,5,7,10,7,6,5,4,11,6,8,11,7,4,15,8,8,13,14,6,6,10,9,9,13,6,4,4,7,7,7,7,10,4,10,8,17,8,16,5,9,7
shame,11,13,5,17,12,8,9,4,4,9,5,8,11,6,8,3,18,12,11,32,4,12,2,3,6,5,0,14,13,12,6,10,6,3,10,0,4,4,11,9,4,7
thousand,16,9,15,16,16,10,4,8,8,6,5,8,12,8,11,1,8,8,3,5,4,7,1,22,4,4,0,16,8,7,8,3,11,10,14,4,6,6,8,9,10,7
bid,7,1,8,11,8,19,12,6,7,7,10,8,10,7,6,17,8,3,9,3,7,8,4,18,8,7,0,12,18,21,20,1,3,9,15,3,6,2,8,6,5,6
lie,13,3,11,4,4,9,10,4,20,12,14,1,12,6,10,10,5,8,7,2,9,3,7,9,13,3,1,12,7,21,3,14,5,7,1,13,7,8,10,7,9,12
ill,4,8,20,6,6,14,11,7,8,5,8,8,16,9,8,8,14,11,8,14,5,2,4,6,4,9,1,14,10,17,3,22,5,5,4,4,5,8,8,4,12,7
hour,13,5,7,6,6,9,7,9,16,11,10,13,8,14,8,9,9,8,5,7,10,7,5,6,8,2,0,5,12,17,1,4,7,3,6,10,8,19,8,4,12,8
help,11,14,4,12,12,11,10,14,4,15,8,8,4,4,8,2,4,4,14,9,6,4,6,2,24,8,0,8,15,18,10,4,5,6,18,6,7,4,5,3,4,8
honest,5,1,18,7,3,14,11,11,9,5,13,4,2,13,12,6,1,8,8,3,6,5,4,13,43,8,1,2,3,8,7,2,3,28,2,2,2,12,2,1,24,17
enough,13,5,10,11,6,16,9,8,6,11,14,3,14,4,7,9,4,4,8,0,10,11,11,10,11,9,0,5,3,8,7,6,5,14,6,6,15,9,10,1,8,13
husband,3,0,2,2,6,20,7,13,3,9,9,29,3,3,10,1,8,0,12,14,4,15,0,13,22,3,0,4,23,14,22,4,0,1,8,2,6,6,2,0,39,8
play,13,2,6,5,5,4,7,5,11,2,8,2,13,14,40,1,8,13,3,0,4,5,36,9,8,5,0,5,6,9,15,6,5,2,2,7,10,12,12,3,2,12
fellow,8,1,18,12,2,11,11,9,7,19,11,5,13,13,10,13,5,6,28,0,2,16,2,3,9,5,0,3,9,5,8,0,3,4,15,5,17,4,7,0,6,16
timon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0
news,13,4,28,10,18,5,15,4,6,25,5,0,1,7,10,4,16,4,9,1,4,10,2,15,9,0,0,10,28,15,11,1,11,2,6,2,1,7,3,1,3,5
soldier,6,8,5,6,4,6,61,51,3,22,9,1,38,1,5,13,7,5,5,1,7,6,1,2,13,2,1,1,3,3,2,1,2,6,2,1,3,13,4,1,4,2
state,10,4,10,14,13,3,7,5,2,24,4,3,4,31,16,5,7,5,12,8,7,8,1,13,16,6,0,17,10,5,2,14,1,8,1,5,9,7,9,0,4,3
body,5,10,13,18,25,5,10,6,6,15,15,5,7,4,18,14,9,3,10,12,5,13,0,6,5,4,0,7,11,12,4,8,2,1,14,2,0,13,9,3,4,4
england,11,34,9,46,21,0,0,0,1,0,0,1,63,12,21,0,53,0,0,0,9,0,0,4,2,0,0,20,21,0,0,0,0,0,0,1,1,0,0,0,1,0
together,6,6,11,12,8,5,17,6,16,17,17,9,7,15,13,8,5,3,5,3,7,5,7,6,7,6,2,5,6,2,7,2,4,9,1,6,6,13,14,5,11,11
under,8,5,13,16,8,12,8,17,13,9,6,2,15,22,5,9,9,8,9,6,8,8,2,7,2,2,0,9,3,6,4,6,5,5,6,13,6,11,6,6,8,6
FALSE,4,7,7,20,7,10,9,3,3,4,27,10,1,5,6,2,8,6,8,17,9,10,4,3,17,1,0,11,16,2,1,21,13,8,1,3,4,5,17,6,3,12
tears,4,6,6,13,23,4,6,5,9,7,1,2,4,5,8,4,7,8,9,20,2,2,8,3,7,8,0,18,10,20,4,5,12,2,38,1,3,3,8,16,0,7
bed,6,2,11,11,6,4,7,10,5,2,18,9,5,6,12,7,6,0,7,14,11,4,14,6,23,5,0,4,9,27,13,3,3,2,4,5,11,3,12,4,5,8
fight,17,32,5,22,22,3,26,1,1,13,7,0,12,2,4,4,6,3,4,7,13,1,2,1,3,0,0,15,17,7,0,2,1,1,2,1,3,11,29,2,6,3
shalt,10,12,4,12,19,4,5,5,9,6,11,2,8,0,4,4,13,8,11,8,6,3,7,11,4,5,1,6,11,11,5,11,7,8,13,13,7,6,6,6,8,8
sure,9,9,10,7,5,12,8,11,11,8,12,13,6,13,9,10,1,4,10,0,5,5,3,10,18,7,0,1,2,5,6,3,8,6,11,5,8,17,7,0,15,9
far,9,6,5,10,14,1,10,9,1,9,18,5,6,23,9,7,3,4,13,8,5,2,6,7,3,6,0,17,11,5,8,16,7,5,3,5,4,15,5,3,3,11
rome,0,2,1,1,0,0,34,0,0,94,10,0,1,10,2,40,10,1,0,10,0,1,0,1,0,0,0,0,0,0,1,0,0,0,105,0,0,0,0,0,0,0
friar,0,0,0,0,0,30,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,188,0,0,0,0,0,0,1,95,1,0,4,0,0,0,0,0,0,0,0,0
pardon,8,2,4,10,12,5,14,13,5,7,6,2,9,6,7,10,5,9,9,0,2,24,3,10,11,3,0,26,11,11,10,1,7,3,9,3,3,9,9,1,8,7
servant,8,7,11,6,0,0,18,6,1,5,8,1,3,9,1,19,1,3,16,1,18,11,3,0,1,8,0,0,3,0,16,2,21,34,0,7,13,13,3,0,2,32
thoughts,6,6,9,12,5,4,12,11,4,3,4,1,11,6,18,5,6,4,5,11,11,3,3,7,15,11,1,15,9,4,5,19,9,3,10,6,6,2,14,4,3,10
lay,13,6,9,6,3,8,10,6,5,13,12,4,10,12,9,4,15,4,7,7,5,7,3,5,14,5,1,10,12,11,7,2,2,4,9,6,3,6,8,4,7,11
margaret,0,38,0,89,87,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
thank,6,0,7,14,2,15,6,11,17,10,12,5,4,17,9,3,2,8,8,0,4,14,3,10,9,10,0,8,12,6,10,1,12,6,5,7,5,9,4,0,17,1
hither,4,4,13,9,6,9,11,6,14,5,4,6,3,6,8,6,8,6,15,2,5,15,6,2,12,10,0,14,10,12,12,0,3,5,14,12,9,3,10,0,5,4
claudio,0,0,0,0,0,211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mean,6,10,4,8,14,5,9,6,6,6,15,13,3,10,10,13,4,10,5,4,4,4,4,6,12,5,0,5,15,8,20,0,14,3,10,4,6,3,5,2,3,11
last,5,6,7,10,8,7,15,6,5,13,7,6,2,15,14,8,5,5,8,8,9,4,1,8,4,10,0,20,14,8,5,2,5,7,7,7,5,10,3,5,4,7
arms,18,24,8,15,11,0,3,2,1,9,7,0,3,7,10,4,26,8,9,8,2,2,1,0,2,9,0,21,17,2,2,0,2,1,15,4,0,11,13,8,2,4
kind,10,7,8,2,1,7,5,4,10,9,7,2,10,5,12,4,5,1,14,2,4,11,5,12,10,4,0,8,11,6,7,12,10,14,6,10,10,11,5,3,8,6
saw,7,2,7,5,2,7,8,7,13,10,10,14,6,13,13,8,3,9,5,5,5,4,4,5,8,3,2,1,8,10,10,5,5,3,3,14,11,17,6,4,4,13
war,10,10,10,7,22,3,22,11,0,22,11,2,22,2,2,4,25,2,3,3,4,2,2,0,6,4,0,15,10,0,3,7,2,9,5,1,2,12,16,3,0,0
yourself,7,3,9,5,5,9,15,9,9,10,8,6,7,14,15,10,6,7,9,0,2,11,4,4,16,6,0,2,6,5,7,10,8,2,2,5,7,4,8,0,12,13
gave,10,5,10,5,12,2,6,12,3,7,14,15,4,14,10,6,5,7,12,6,3,1,2,12,18,5,1,6,3,5,5,6,14,6,8,3,3,11,5,5,3,3
ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0
bracket,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
seen,7,7,9,10,5,5,9,5,5,9,14,1,3,3,22,9,3,10,13,3,6,4,6,4,15,6,1,8,6,6,5,11,3,6,4,3,5,12,9,8,2,12
lost,11,13,5,16,8,4,11,13,6,2,11,9,8,7,9,2,5,4,8,5,6,4,3,7,20,8,0,5,8,3,2,4,5,3,1,11,4,9,6,5,2,15
turn,7,12,6,6,9,3,10,3,7,9,3,4,10,8,8,9,6,9,15,2,3,7,6,12,10,8,0,7,7,12,5,3,6,7,10,4,3,5,9,4,10,8
years,10,9,10,5,8,3,4,3,9,7,13,9,5,6,5,6,3,17,8,2,2,9,3,5,9,8,2,17,9,13,8,6,3,2,6,5,12,3,3,4,5,13
youth,9,5,12,5,4,7,5,12,29,2,15,1,8,0,16,0,3,5,2,4,1,9,7,8,5,0,0,6,4,6,2,17,15,6,6,0,26,6,10,2,3,6
crown,8,11,17,26,67,1,6,2,2,1,5,1,14,7,6,12,13,1,3,1,6,2,2,1,2,5,0,24,19,0,0,1,0,0,2,6,2,5,3,0,0,5
high,9,7,8,8,6,4,15,12,5,3,2,1,15,16,4,7,6,5,10,9,4,2,4,5,8,8,0,19,15,9,2,4,5,6,7,7,2,4,8,8,3,6
macbeth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lies,10,5,7,3,4,4,6,7,3,13,7,1,5,2,7,7,13,7,3,14,8,2,10,5,12,5,0,17,3,19,5,13,2,3,3,10,7,6,13,7,1,7
beauty,3,5,0,3,3,5,3,3,3,0,4,4,2,7,6,1,7,13,2,20,0,5,2,2,5,6,3,1,10,13,9,70,8,0,1,2,6,13,14,21,2,5
free,4,11,3,9,8,3,8,6,5,8,9,3,7,10,14,7,4,6,7,5,7,10,3,3,18,5,2,8,4,5,9,6,3,12,3,13,9,9,8,3,2,12
mad,13,4,4,4,2,4,5,2,2,2,7,28,1,4,23,2,9,3,18,4,4,4,2,3,7,0,0,2,6,10,18,6,1,4,14,2,21,13,7,5,9,3
sleep,8,3,12,5,2,2,10,3,5,5,8,4,4,6,12,12,2,2,9,5,26,7,19,2,6,5,0,2,19,12,8,4,5,1,8,11,2,11,6,0,5,7
majesty,14,11,20,27,8,0,7,17,1,0,4,0,44,7,16,0,20,6,8,3,5,0,0,1,0,1,0,25,16,0,0,2,0,0,5,1,0,1,1,2,0,4
horse,33,6,9,6,4,5,14,7,5,4,4,2,18,1,5,3,0,8,11,0,4,1,5,4,1,2,0,11,18,0,19,2,3,6,3,1,5,7,11,8,0,1
each,4,9,3,4,5,2,9,4,1,9,7,2,8,15,11,2,8,7,7,12,13,1,8,1,7,5,0,6,12,2,3,16,4,13,2,6,2,13,16,15,3,8
rosalind,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
third,1,13,2,8,4,1,12,0,2,43,2,0,4,12,3,19,0,1,8,0,22,0,1,6,5,14,0,0,13,5,8,1,10,23,1,3,4,28,0,0,1,8
lear,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
means,6,11,8,11,11,6,4,6,11,4,7,4,6,4,20,9,6,2,13,3,5,6,2,11,7,4,0,7,10,8,9,3,5,11,8,3,5,7,5,1,6,7
break,8,11,8,10,9,9,10,2,8,10,2,14,6,5,8,7,10,14,8,5,4,3,7,9,2,3,0,8,9,5,5,4,6,5,5,4,4,11,8,1,3,8
court,8,3,18,13,2,1,3,21,17,1,27,0,4,21,6,0,2,16,5,0,4,0,0,15,3,9,0,9,2,1,7,0,8,1,10,2,2,5,0,1,9,20
katherine,0,1,1,0,0,0,0,0,0,0,0,0,47,67,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0
wit,0,2,11,2,4,30,0,1,21,3,2,8,3,4,7,2,1,36,6,5,2,4,4,10,12,2,0,1,4,13,3,6,17,2,4,2,15,1,22,3,4,2
alone,11,5,5,4,5,6,10,5,6,14,12,3,4,7,10,6,10,3,8,4,4,1,6,4,4,3,0,4,4,17,7,19,9,4,7,2,10,13,6,3,2,2
spirit,8,10,12,12,4,4,9,2,3,9,2,1,9,4,15,16,13,7,6,1,3,5,6,11,9,1,0,2,6,4,5,11,3,6,2,21,5,4,8,2,5,6
swear,9,5,5,6,6,11,0,10,8,2,7,1,10,5,10,3,10,11,6,4,2,4,6,23,6,3,0,5,12,9,7,7,3,3,8,10,7,1,7,1,1,17
lucius,0,0,0,0,0,0,1,0,0,0,47,0,0,0,0,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,130,0,0,0,0,0,0,0
sent,6,9,15,9,5,4,12,6,6,7,4,18,6,19,13,1,3,6,5,1,4,10,3,3,6,3,0,9,11,2,4,0,11,16,11,1,7,3,5,0,5,3
hotspur,133,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square,7,6,6,6,6,6,10,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,6,6,7,6,6,6,6,6,6,6,7,9,6,6,8,7,6,6,8
four,26,5,9,4,5,4,6,7,4,7,3,4,12,8,6,3,4,15,3,2,2,6,10,10,3,4,2,6,6,5,4,3,4,4,3,7,7,8,3,4,6,6
send,11,7,8,11,4,8,12,11,3,6,8,7,5,2,4,11,5,5,9,0,6,5,0,3,9,1,0,9,14,14,8,3,7,8,10,1,8,1,4,1,13,3
troilus,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,270,0,0,0
cleopatra,0,0,0,0,0,0,272,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
left,3,8,8,5,11,8,11,3,5,6,15,11,10,11,3,6,8,2,7,5,6,1,6,8,6,11,0,7,7,4,6,5,6,8,8,8,4,6,2,4,1,12
sea,4,4,5,6,11,2,31,0,2,3,5,5,8,4,8,2,3,2,7,4,3,4,4,7,11,34,0,5,3,7,2,5,5,6,8,27,9,2,3,1,1,8
sun,7,5,1,5,12,2,5,2,3,5,11,5,11,8,8,3,7,8,5,6,4,2,2,3,4,4,0,9,9,15,10,12,5,7,7,4,4,10,12,16,3,7
yours,3,4,10,2,4,10,11,12,7,11,17,2,10,3,5,10,10,9,5,3,3,5,4,16,6,4,0,2,15,3,5,5,8,7,2,4,7,8,4,0,1,15
knows,6,5,8,9,5,10,8,14,6,5,8,5,3,8,5,4,7,5,6,5,8,11,3,6,10,2,1,5,15,4,5,12,5,4,4,1,5,4,16,4,5,6
charge,15,9,11,9,9,14,7,11,6,9,2,9,9,9,9,4,6,3,4,3,4,4,2,5,6,4,1,4,11,4,8,2,1,3,2,6,3,9,7,1,5,8
foul,6,3,5,10,7,9,4,2,9,0,3,1,7,3,11,1,8,8,15,22,5,5,1,0,18,4,1,12,14,4,7,7,2,3,10,13,2,5,1,11,6,2
buckingham,0,0,0,65,2,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0
devil,23,5,5,4,2,3,2,6,2,1,4,6,9,9,9,2,11,4,1,5,8,6,0,14,22,1,0,2,11,3,10,2,0,1,9,9,14,2,8,0,13,1
read,9,3,6,9,2,3,5,7,6,5,12,3,7,10,6,14,7,11,10,6,4,3,4,5,4,6,1,9,2,7,12,6,8,6,10,1,12,5,5,1,3,8
